step,reward
1000,-1140.7759693126422
2000,-1046.550380214804
3000,-1022.5541063703564
4000,-931.7486061867485
5000,-1053.594259713636
6000,-969.6369874763773
7000,-962.3662424952059
8000,-955.2037731886935
9000,-1068.3069058213048
10000,-932.7051962247334
11000,-823.9494364470431
12000,-869.4395763321367
13000,-797.5063270111921
14000,-959.6816939406714
15000,-958.9171378245253
16000,-920.4967720844212
17000,-928.0282968824606
18000,-790.1014649018626
19000,-925.1747599775816
20000,-876.8707263746155
21000,-799.6322276463331
22000,-903.0775646817385
23000,-895.4262666694048
24000,-818.9825059248407
25000,-887.0758062942771
26000,-883.4934574533576
27000,-869.7258222995569
28000,-875.9697235228324
29000,-855.7687128826761
30000,-794.1237256239077
31000,-911.8582291345682
32000,-782.7846648510478
33000,-880.6098620591555
34000,-777.0408226917863
35000,-864.2629285932442
36000,-805.5353009468726
37000,-707.2313962064483
38000,-845.207369838608
39000,-730.5906107984927
40000,-927.2749880513243
41000,-808.9774683966236
42000,-781.5397696921733
43000,-842.2931164846557
44000,-898.280022750771
45000,-831.6334151625884
46000,-865.6107278400801
47000,-813.9987790704874
48000,-694.3915720364319
49000,-726.4616178637375
50000,-684.064384657258
51000,-683.956773236024
52000,-699.5656734355928
53000,-709.3236052900967
54000,-737.3549915173604
55000,-781.6329666278733
56000,-667.0395554500569
57000,-720.8089378616925
58000,-628.6642347483338
59000,-808.4933467273003
60000,-687.6557031504292
61000,-573.5930923023427
62000,-743.5346109345608
63000,-632.0316752522482
64000,-676.9307318316302
65000,-707.3141039651905
66000,-704.330077965049
67000,-815.2784145032217
68000,-648.93980733094
69000,-790.645433907901
70000,-582.6926286190128
71000,-773.4137639907109
72000,-862.695704132689
73000,-837.6659434204302
74000,-664.6693852432608
75000,-660.9081745918602
76000,-647.366895734373
77000,-776.048166595404
78000,-753.7355150831107
79000,-704.2380249586981
80000,-884.3315096254565
81000,-713.5201350592571
82000,-677.0493544063843
83000,-771.9491424007094
84000,-659.8982733773834
85000,-735.4862663087787
86000,-671.9307935534946
87000,-656.591023533667
88000,-828.2826360993538
89000,-739.3199720460275
90000,-710.2801387656123
91000,-655.527418786814
92000,-689.7824914798821
93000,-699.9756905924021
94000,-681.108873700299
95000,-651.0139222744918
96000,-645.0461950368377
97000,-497.9952951235581
98000,-644.3459687461442
99000,-466.54876651387275
100000,-792.9761067005384
101000,-801.7205397665737
102000,-639.4975605732675
103000,-632.3508537827495
104000,-595.2112214793835
105000,-748.4655020932481
106000,-556.5358599893282
107000,-627.2946617674146
108000,-578.4262128022478
109000,-603.0022326847733
110000,-514.6391624415664
111000,-611.2245273190472
112000,-626.6111591533137
113000,-585.269934273158
114000,-592.8002641407335
115000,-554.7200643886758
116000,-497.7292363936077
117000,-504.5600272304417
118000,-593.4923010593171
119000,-531.7373350071641
120000,-474.9490205802972
121000,-640.9940194704716
122000,-521.4116210582222
123000,-502.7157623288651
124000,-600.3608903399081
125000,-583.1906682289404
126000,-549.6822965637447
127000,-510.07195046703845
128000,-613.0984617687569
129000,-537.7597609191706
130000,-511.50334264552237
131000,-546.3570029051202
132000,-499.79126157412367
133000,-534.1821363523121
134000,-479.1536658628029
135000,-512.2125979805996
136000,-555.6375427870532
137000,-603.5776058881457
138000,-517.0284575083734
139000,-458.60158532170465
140000,-590.252789640312
141000,-391.9385211252087
142000,-497.0644081426327
143000,-539.1526811516045
144000,-513.4730285945946
145000,-506.5836998544795
146000,-566.4976513602614
147000,-547.558945154058
148000,-502.77414691712164
149000,-603.3531290385266
150000,-471.5965736546882
151000,-406.65469217568796
152000,-416.96956919676836
153000,-447.11581920136877
154000,-495.9907645815012
155000,-479.85079728785047
156000,-443.83858807638484
157000,-528.6454468074234
158000,-456.93240035488617
159000,-478.5758376654183
160000,-428.79930851320756
161000,-473.10304577688726
162000,-461.9887937657227
163000,-359.8597252075965
164000,-368.6855629521228
165000,-486.16135355741716
166000,-410.4919080772208
167000,-510.79033564573615
168000,-483.1604184957568
169000,-484.8718027145915
170000,-382.7376118132804
171000,-512.4092614577805
172000,-455.4897033757177
173000,-445.30551857670105
174000,-433.5560766649176
175000,-468.7251832945391
176000,-496.4242232039173
177000,-410.74834092991534
178000,-470.6367123042782
179000,-430.817468586384
180000,-355.09078058787424
181000,-460.8232262705494
182000,-425.932768711676
183000,-399.04607143220386
184000,-464.0840818196136
185000,-346.1198932884706
186000,-421.59851287874653
187000,-450.8746711524051
188000,-412.6778921893252
189000,-362.33860318373803
190000,-446.58837907885976
191000,-368.1292489970244
192000,-399.5804277543188
193000,-356.01075284418937
194000,-364.5083339227879
195000,-319.9684445507999
196000,-443.4500397617387
197000,-377.7908025997832
198000,-382.03123787200036
199000,-380.59300190295494
200000,-340.21228062915117
201000,-353.52929503565963
202000,-618.2578259938804
203000,-383.42994395752226
204000,-390.19634967890994
205000,-340.1782928850079
206000,-369.981194607942
207000,-346.7954792189325
208000,-424.09010285508384
209000,-350.25178811557544
210000,-333.04679989447317
211000,-361.58165459103526
212000,-327.1008769376656
213000,-248.32826062885601
214000,-431.5467130154107
215000,-451.01211289684704
216000,-399.25994307441727
217000,-318.17082235091084
218000,-355.3316793620754
219000,-281.2503655384012
220000,-348.26171207409527
221000,-366.95798366661575
222000,-295.3988667116281
223000,-422.5620320549281
224000,-301.1052128853684
225000,-262.33408682652504
226000,-383.7359466183294
227000,-312.3262429958663
228000,-306.6893279450353
229000,-345.9831810977552
230000,-327.42152624802543
231000,-249.03223559151962
232000,-239.26393820408188
233000,-379.12505516883425
234000,-304.48248648042915
235000,-276.51634320337087
236000,-316.8148090676887
237000,-292.10424443399006
238000,-371.0050464657114
239000,-245.9337214832363
240000,-295.7713185976533
241000,-281.2862954329786
242000,-430.84917132882026
243000,-212.06768766667741
244000,-281.9511260394712
245000,-233.182559446557
246000,-217.47764683118498
247000,-277.79692777558716
248000,-288.56622234333315
249000,-309.2141536829831
250000,-247.47529891942358
251000,-260.9215853234189
252000,-295.0450563947476
253000,-259.5918922037188
254000,-239.43280035754225
255000,-221.17271506409534
256000,-161.1605704362072
257000,-145.22360049011226
258000,-192.5601287432055
259000,-172.978069326839
260000,-191.78800114442072
261000,-208.07847207728017
262000,-210.3630567782798
263000,-136.02655568067382
264000,-174.10200337610874
265000,-212.67648005402907
266000,-133.68928587991357
267000,-160.35270296286168
268000,-214.6888979328155
269000,-140.32546101741872
270000,-213.57322703493458
271000,-212.13766329559894
272000,-193.91058510961147
273000,-166.43260773429458
274000,-196.84467144542583
275000,-196.47008409163791
276000,-195.4237765424946
277000,-259.56765347149457
278000,-225.65210525577217
279000,-122.45242197239217
280000,-167.30895626936814
281000,-115.22901199040503
282000,-176.89583024402032
283000,-177.69076918591225
284000,-168.00732319260553
285000,-119.42611920785534
286000,-150.05253302723477
287000,-119.5080798414912
288000,-109.28881938516321
289000,-111.05832461200878
290000,-134.90152524457798
291000,-148.72760756222138
292000,-59.476692085356014
293000,-28.730929486388877
294000,-93.70274476482354
295000,-149.1062240804308
296000,-100.47778166668395
297000,-103.9798745043521
298000,-91.12430744046304
299000,-198.462391919768
300000,-139.33914926127406
301000,-93.00513993138696
302000,-29.56074607570998
303000,-100.74397061174234
304000,-102.7946465582107
305000,-62.690632840833274
